UN;NAZEV
B;POČET BAKTERIÍ
BAL;BALENÍ
BB;POČET BUNĚK
BL;POČET MIKROBŮ (ZÁRODKŮ) V MILIONECH
BM;POČET MIKROBŮ (ZÁRODKŮ) V MILIARDÁCH
CCID50;50% INFEKČNÍ DÁVKA BUNĚČNÉ KULTURY
CFU;JEDNOTKY TVOŘÍCÍ KOLONIE
CM;CENTIMETR
CM2;CENTIMETR ČTVEREČNÝ
CT;CENTIGRAM
C3;CENTIMETR KUBICKÝ
DF;VÝSLEDNÁ DĚLENÁ LÉKOVÁ FORMA, DÁVKOVACÍ FORMA, BALENÍ U NEDĚLENÝCH FOREM (OBECNĚ U POLYKOMPONENTNÍCH LÉKŮ, U MONOKOMPONENTNÍCH, POKUD NENÍ ÚDAJ)
DG;DECIGRAM
DR;DEKAMIKROGRAM = CENTIMILIGRAM  = 0,01 MG
DU;D - ANTIGENOVÁ JEDNOTKA ( JEDNOTKA D - ANTIGENU )
ED;POČET EDI50 V MILIONECH
EU;ELISA  JEDNOTKA
FAG;FÁGOVÁ ČÁSTICE
FFU;FLUORESCENČNÍ FOKÁLNÍ JEDNOTKY
FU;POČET FFU (FLUORESCENT FOCUS UNITS) V MILIONECH
G;GRAM
GBQ;GIGABEQUEREL
GC;POČET KOPIÍ GENOMU
HR;HEKTOMIKROGRAM = DECIMILIGRAM  = 0,1 MG
IC;INDEX KONCENTRACE BLÍŽE SPECIFIKOVANÝ TEXTEM SPC
INF.U;INFEKČNÍ JEDNOTKA
IR;INDEX REAKTIVITY BLÍŽE SPECIFIKOVANÝ TEXTEM SPC
IU;INTERNATIONAL UNIT - MEZINÁRODNÍ JEDNOTKA
KA;JEDNOTKY PA, T.ZN. STANDARDIZOVANÉ ALERGENY VYJÁDŘENÉ V TISICÍCH
KBQ;KILOBEQUEREL
KG;KILOGRAM
KIU;TISÍCE MEZINÁRODNÍCH JEDNOTEK
KN;JEDNOTKY PN T.ZN.NESTANDARDIZOVANÉ ALERGENY  VYJÁDŘENÉ V TISÍCÍCH
KS;KUS
KU;TISÍCE JEDNOTEK
L;LITR
LD50;STŘEDNÍ LETÁLNÍ DÁVKA
LF;LIMES FLOCULATIONIS (FLOKULAČNÍ JEDNOTKY)
MBQ;MEGABEQUEREL
MCG;MIKROGRAM
MCL;MIKROLITR
MCMOL;MIKROMOL
MEQ;MILIEQUIVALENT
MG;MILIGRAM
MIU;MILIONY MEZINÁRODNÍCH JEDNOTEK
ML;MILILITR
MM;MILIMETR
MMOL;MILIMOL
MOL;MOL
MU;MILIONY JEDNOTEK
NG;NANOGRAM
PA;JEDNOTKA ALERGENU T.ZV. JSK = JEDNOTKA STANDARDNÍ KVALITY
PC;PROCENTO
PF;POČET PFU V TISÍCÍCH
PFU;JEDNOTKY TVOŘÍCÍ PLAKY
PM;PROMILE
PN;JEDNOTKY ALERGENU VYJÁDŘENÉ MNOŽSTVÍM PROTEINOVÉHO DUSÍKU, 1 JEDNOTKA = 0.01 MIKROGRAMŮ PROTEINOVÉHO DUSÍKU V 1 ML ALERGENU 
PS;SETINA PROMILE  100PS = 1PM = 0,1PC
QS;QUANTUM SATIS (NENÍ-LI K DISPOZICI PŘESNÝ VÁHOVÝ ÚDAJ)
RE;ŘEDĚNÍ (KONCENTRACE)
RI;RIA STANOVENÍ PROTILÁTEK
ST;STOPY DANÉ LÁTKY
SU;JEDNOTKY BLÍŽE SPECIFIKOVANÉ TEXTEM SPC
TC;POČET CCID50 V TISÍCÍCH
TCID50;50% INFEKČNÍ DÁVKA TKÁŇOVÉ KULTURY
TD;POČET CCID50 V MILIONECH
TI;TITR FÁGOVÝCH ČÁSTIC V MILIONECH
U;JEDNOTKA
UD;JEDNOTKOVÁ DÁVKA
VG;VEKTOR GENOMU
VJ;VAZNÉ JEDNOTKY
